"Year","Mon","Day","Lat/Lon",56.77,57.2125,57.655,58.0975,58.54,58.9825,59.425,59.8675,60.31
2012,12,31,5.48551,0,0,"6.26084947726e-05","9.82187266345e-05","8.846714627e-05","7.94410152594e-05","6.24614549452e-05","5.91029820498e-05","6.59550496493e-05"
2012,12,31,5.92801,0,"7.005572261e-20","4.4573971536e-05","7.03958503436e-05","6.93526308169e-05","6.65979314363e-05","5.1088656619e-05","4.12527042499e-05","4.01883226004e-05"
2012,12,31,6.37051,0,"3.87806539948e-06","3.44551299349e-05","5.81972162763e-05","5.28590389877e-05","5.05084935867e-05","3.79722150683e-05","3.06363799609e-05","2.72937377304e-05"
2012,12,31,6.81301,0,"4.62816115032e-06","2.65042235696e-05","4.81146198581e-05","4.55492117908e-05","4.00382996304e-05","2.90541847789e-05","2.14033243537e-05","1.65338988154e-05"
2012,12,31,7.25551,0,"3.35607592206e-06","2.12478753383e-05","3.81727440981e-05","3.65586638509e-05","3.24410102621e-05","2.40104127442e-05","1.52908505697e-05","1.17964291348e-05"
2012,12,31,7.69801,0,"2.2478009214e-06","1.7286869479e-05","2.71416811302e-05","2.69903230219e-05","2.52873596764e-05","2.06481181522e-05","1.42645767482e-05","1.214083386e-05"
2012,12,31,8.14052,"6.60413852089e-21","1.85872113434e-06","1.21511666293e-05","1.70862276718e-05","1.94711537915e-05","1.97372155526e-05","1.81160739885e-05","1.48431936395e-05","1.52163729581e-05"
2012,12,31,8.58302,"3.29025994006e-07","1.06122399757e-06","7.26875350665e-06","1.26089316836e-05","1.45695430547e-05","1.68479236891e-05","1.80288207048e-05","1.8128002921e-05","1.81743798748e-05"
2012,12,31,9.02552,"3.28213957346e-07","5.5598235349e-07","3.65716573469e-06","1.04452019514e-05","1.25394599308e-05","1.61023017426e-05","1.95243501366e-05","2.2252484996e-05","2.27358596021e-05"
2012,12,31,9.46802,"7.85679521442e-09","3.8203125996e-07","3.63489652955e-06","9.89230102277e-06","1.4269593521e-05","1.76778121386e-05","2.21120826609e-05","2.54123042396e-05","2.41767629632e-05"
2012,12,31,9.91052,"1.23010455155e-08","7.50592676013e-07","5.03354476677e-06","1.25911901705e-05","1.75974528247e-05","1.96733053599e-05","2.29531688092e-05","2.56237472058e-05","2.46284835157e-05"
2012,12,31,10.353,"3.5985692648e-08","1.33184687456e-06","5.92618744122e-06","1.29125510284e-05","1.85487951967e-05","2.03005074582e-05","2.21715818043e-05","2.33922437474e-05","2.10782909562e-05"
2012,12,31,10.7955,0,"1.66796007761e-06","6.08727168583e-06","1.24721609609e-05","1.81131181307e-05","1.95166885533e-05","1.86393663171e-05","1.72987965925e-05","1.43362558447e-05"
